Sensor_Chemical — Intended Detection (Junction),,,,,,,,
sensor_id (FK),chemical_id (FK),relationship_type,correction_factor,detection_range_low,detection_range_high,range_unit,notes,Include
RAE-LEL-1,Acetone,primary,2.2,0,100,%LEL,,
RAE-LEL-1,Ammonia,primary,0.8,0,100,%LEL,,
RAE-LEL-1,*Benzene,primary,2.8,0,100,%LEL,,
RAE-LEL-1,Carbon Monoxide,primary,1.2,0,100,%LEL,,
RAE-LEL-1,Cyclohexane,primary,2.5,0,100,%LEL,,
RAE-LEL-1,"Ethanol
(ethyl alcohol)",primary,1.7,0,100,%LEL,,
RAE-LEL-1,Ethyl acetate,primary,2.2,0,100,%LEL,,
RAE-LEL-1,Hydrogen,primary,2.3,0,100,%LEL,,
RAE-LEL-1,Isobutylene,primary,1.5,0,100,%LEL,,
RAE-LEL-1,Isoproponal,primary,2.6,0,100,%LEL,,
RAE-LEL-1,Leaded Gasoline,primary,2.8,0,100,%LEL,,
RAE-LEL-1,Methane,primary,1,0,100,%LEL,,
RAE-LEL-1,Methanol,primary,2,0,100,%LEL,,
RAE-LEL-1,"Methyl Ethyl Ketone (MEK)
(2-butanone)",primary,2.6,0,100,%LEL,,
RAE-LEL-1,"Butane
(n-butane)",primary,1.6,0,100,%LEL,,
RAE-LEL-1,Heptane,primary,3.5,0,100,%LEL,,
RAE-LEL-1,Hexane,primary,3.3,0,100,%LEL,,
RAE-LEL-1,Octane,primary,3.8,0,100,%LEL,,
RAE-LEL-1,Pentane,primary,2.2,0,100,%LEL,,
RAE-LEL-1,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,0.26,0,100,%LEL,,
RAE-LEL-1,Propane,primary,1.6,0,100,%LEL,,
RAE-LEL-1,Propene,primary,1.5,0,100,%LEL,,
RAE-LEL-1,Toluene,primary,3.5,0,100,%LEL,,
RAE-LEL-1,Turpentine,primary,2.9,0,100,%LEL,,
RAE-LEL-2,Acetone,primary,2.2,0,100,%LEL,,
RAE-LEL-2,Ammonia,primary,0.8,0,100,%LEL,,
RAE-LEL-2,*Benzene,primary,2.5,0,100,%LEL,,
RAE-LEL-2,Carbon Monoxide,primary,1.2,0,100,%LEL,,
RAE-LEL-2,Cyclohexane,primary,2.5,0,100,%LEL,,
RAE-LEL-2,"Ethanol
(ethyl alcohol)",primary,1.7,0,100,%LEL,,
RAE-LEL-2,Ethyl acetate,primary,2.2,0,100,%LEL,,
RAE-LEL-2,Hydrogen,primary,1.2,0,100,%LEL,,
RAE-LEL-2,Isobutylene,primary,1.5,0,100,%LEL,,
RAE-LEL-2,Isoproponal,primary,2.6,0,100,%LEL,,
RAE-LEL-2,Leaded Gasoline,primary,2.4,0,100,%LEL,,
RAE-LEL-2,Methane,primary,1,0,100,%LEL,,
RAE-LEL-2,Methanol,primary,1.5,0,100,%LEL,,
RAE-LEL-2,"Methyl Ethyl Ketone (MEK)
(2-butanone)",primary,2.6,0,100,%LEL,,
RAE-LEL-2,"Butane
(n-butane)",primary,1.6,0,100,%LEL,,
RAE-LEL-2,Heptane,primary,2.7,0,100,%LEL,,
RAE-LEL-2,Hexane,primary,2.5,0,100,%LEL,,
RAE-LEL-2,Octane,primary,2.9,0,100,%LEL,,
RAE-LEL-2,Pentane,primary,2,0,100,%LEL,,
RAE-LEL-2,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,0.26,0,100,%LEL,,
RAE-LEL-2,Propane,primary,1.6,0,100,%LEL,,
RAE-LEL-2,Propene,primary,1.7,0,100,%LEL,,
RAE-LEL-2,Toluene,primary,3,0,100,%LEL,,
RAE-LEL-2,Turpentine,primary,2.9,0,100,%LEL,,
RAE-O2-1,Oxygen,primary,,0,30,%vol,,
RAE-O2-4REC,Oxygen,primary,,0,30,%vol,,
RAE-NH3-1,Ammonia,primary,,0,100,ppm,,
RAE-CO-1,Carbon Monoxide,primary,,0,500,,,
RAE-CO-ER,Carbon Monoxide,primary,,0,2000,ppm,,
RAE-CL2-1,Chlorine,primary,,0,50,ppm,,
RAE-COSH-CO,Carbon Monoxide,primary,,0,500,ppm,,
RAE-COSH-H2S,Hydrogen Sulfide,primary,,0,200,ppm,,
RAE-HCN-1,"Hydrocyanic Acid 
(Hydrogen Cyanide)",primary,,0,50,ppm,,
RAE-H2S-1,Hydrogen Sulfide,primary,,0,100,ppm,,
RAE-H2S-ER,Hydrogen Sulfide,primary,,0,500,ppm,,
RAE-NO2-1,Nitrogen Dioxide,primary,,0,20,ppm,,
RAE-NO-1,Nitrous Oxide,primary,,0,250,ppm,,
RAE-PH3-1,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,,0,5,ppm,,
RAE-PH3-2,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,,0,20,ppm,,
RAE-PH3H-3,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,,0,20,,"PH3H, not PH3",
RAE-SO2-1,Sulfur Dioxide,primary,,0,20,ppm,,
RAE-COCL2-1,Cobalt Chloride,primary,,NA,NA,ppm,,
SPM-HYDRIDES-1,*Arsine,primary,,0.5,500,ppb,,
SPM-HYDRIDES-1,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,,3,3000,ppb,,
SPM-HYDRIDES-1,Diborane,primary,,5,1000,ppb,,
SPM-HYDRIDES-1,Silane,primary,,0.03,50,ppm,,
SPM-HYDRIDES-1,Germane,primary,,50,2000,ppb,,
SPM-HYDRIDES-1,Hydrogen Selenide,primary,,2,500,ppb,,
SPM-HYDRIDES-1,Hydrogen Sulfide,primary,,0.001,9.999,ppm,,
SPM-MINERAL-1,"Hydrofluoric Acid 
(Hydrogen Fluoride)",primary,,0.02,20,ppm,,
SPM-MINERAL-1,"Hydrochloric Acid 
(Hydrogen Chloride)",primary,,0.02,20,ppm,,
SPM-MINERAL-1,Hydrobromic Acid (Hydrogen Bromide),primary,,0.02,10,ppm,,
SPM-MINERAL-1,Boron Trifluoride,primary,,0.05,10,ppm,,
SPM-MINERAL-1,Nitric Acid,primary,,0.02,20,ppm,,
SPM-MINERAL-1,Sulfuric Acid,primary,,5,750,ppb,,
SPM-MINERAL-1,"Hydriodic Acid
(Hydrogen Iodide)",primary,,0.2,10,ppm,,
SPM-MINERAL-EU,"Hydrofluoric Acid 
(Hydrogen Fluoride)",primary,,0.4,20,ppm,,
SPM-MINERAL-EU,"Hydrochloric Acid 
(Hydrogen Chloride)",primary,,0.02,20,ppm,,
SPM-MINERAL-EU,Hydrobromic Acid (Hydrogen Bromide),primary,,0.02,10,ppm,,
SPM-MINERAL-EU,Boron Trifluoride,primary,,0.05,10,ppm,,
SPM-MINERAL-EU,Nitric Acid,primary,,0.02,20,ppm,,
SPM-MINERAL-EU,Sulfuric Acid,primary,,5,750,ppb,,
SPM-MINERAL-EU,"Hydriodic Acid
(Hydrogen Iodide)",primary,,0.2,10,ppm,,
SPM-OXI-1,Fluorine,primary,,0.01,10,ppm,,
SPM-OXI-1,Chlorine,primary,,0.01,5,ppm,,
SPM-OXI-1,Nitrogen Dioxide,primary,,0.03,10,ppm,,
SPM-OXI-1,Chlorine,primary,,0.01,5,ppm,,
SPM-OXI-1,Chlorine Dioxide,primary,,20,1000,ppb,,
SPM-CL-1,Chlorine,primary,,0.005,5,ppm,,
SPM-AMMINES-1,Ammonia,primary,,0.01,150,ppm,,
SPM-PHOSGENE-1,Phosgene,primary,,2,2000,ppb,,
SPM-HYDRAZINES-1,*Hydrazine,primary,,3,1000,ppb,,
SPM-HCN-1,"Hydrocyanic Acid 
(Hydrogen Cyanide)",primary,,0.2,30,ppm,,
SPM-SO2-1,Sulfur Dioxide,primary,,10,2500,ppb,,
SPM-O3-1,Ozone,primary,,20,1000,ppb,,
SPM-H2O2-1,Hydrogen Peroxide,primary,,0.1,3,ppm,,
DRAG-CATEX-125,Methane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Acetone,primary,,0,100,%LEL,,
DRAG-CATEX-125,Acetic-Acid,primary,,0,100,%LEL,,
DRAG-CATEX-125,Acetylene,primary,,0,100,%LEL,,
DRAG-CATEX-125,Ammonia,primary,,0,100,%LEL,,
DRAG-CATEX-125,*Benzene,primary,,0,100,%LEL,,
DRAG-CATEX-125,"*1,3 Butadiene",primary,,0,100,%LEL,,
DRAG-CATEX-125,"Butane
(n-butane)",primary,,0,100,%LEL,,
DRAG-CATEX-125,Carbon Monoxide,primary,,0,100,%LEL,,
DRAG-CATEX-125,Cyclohexane,primary,,0,100,%LEL,,
DRAG-CATEX-125,"Ether
(ethyl ether, diethyl ether, ethyl oxide)",primary,,0,100,%LEL,,
DRAG-CATEX-125,"Ethanol
(ethyl alcohol)",primary,,0,100,%LEL,,
DRAG-CATEX-125,Ethyl acetate,primary,,0,100,%LEL,,
DRAG-CATEX-125,Heptane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Hexane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Hydrogen,primary,,0,100,%LEL,,
DRAG-CATEX-125,*Gasoline,primary,,0,100,%LEL,,
DRAG-CATEX-125,Methanol,primary,,0,100,%LEL,,
DRAG-CATEX-125,Octane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Pentane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Propane,primary,,0,100,%LEL,,
DRAG-CATEX-125,Propene,primary,,0,100,%LEL,,
DRAG-CATEX-125,Styrene,primary,,0,100,%LEL,,
DRAG-CATEX-125,Toluene,primary,,0,100,%LEL,,
DRAG-CATEX-125,"Xylenes:
o-Xylene",primary,,0,100,%LEL,,
DRAG-XXS-CL,Chlorine,primary,,0,20,ppm,,
DRAG-XXS-CL,Fluorine,primary,,0,20,ppm,,
DRAG-XXS-CL,Bromine,primary,,0,20,ppm,,
DRAG-XXS-CL,Chlorine Dioxide,primary,,0,20,ppm,,
DRAG-XXS-CO,Carbon Monoxide,primary,,0,2000,ppm,,
DRAG-XXS-ECO,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-COLC,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-COHC,Carbon Monoxide,primary,,0,10000,ppm,,
DRAGER-XXS-COH2CP,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-CO2,Carbon Dioxide,primary,,0,5,%vol,,
DRAGER-XXS-COCl2,Cobalt Chloride,primary,,0,10,ppm,,
DRAGER-XXS-H2,Hydrogen,primary,,0,2000,ppm,,
DRAGER-XXS-H2HC,Hydrogen,primary,,0,4,%vol,,
DRAGER-XXS-HCN,"Hydrocyanic Acid 
(Hydrogen Cyanide)",primary,,0,50,ppm,,
DRAGER-XXS-H2S,Hydrogen Sulfide,primary,,0,200,ppm,,
DRAGER-XXS-EH2S,Hydrogen Sulfide,primary,,0,200,ppm,,
DRAGER-XXS-H2SHC,Hydrogen Sulfide,primary,,0,1000,ppm,,
DRAGER-XXS-H2SLC,Hydrogen Sulfide,primary,,0,100,ppm,,
DRAGER-XXS-H2SCO-H2S,Hydrogen Sulfide,primary,,0,200,ppm,,
DRAGER-XXS-H2SCO-CO,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-H2SCOLC-H2S,Hydrogen Sulfide,primary,,0,100,ppm,,
DRAGER-XXS-H2SCOLC-CO,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-NH3,Ammonia,primary,,0,300,ppm,,
DRAGER-XXS-NO,Nitrogen Dioxide,primary,,0,200,ppm,,
DRAGER-XXS-NO2,Nitrogen Dioxide,primary,,0,50,ppm,,
DRAGER-XXS-NO2LC,Nitrogen Dioxide,primary,,0,50,ppm,,
DRAGER-XXS-OV,"Ether
(ethyl ether, diethyl ether, ethyl oxide)",primary,,0,200,ppm,,
DRAGER-XXS-OV,Propene,detectable,0.65,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,*Vinyl Chloride,detectable,0.6,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,Methanol,detectable,0.5,0,800,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,"*1,3 Butadiene",detectable,1.4,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,*Formaldehyde,detectable,0.8,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,Isoproponal,detectable,0.35,0,300,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OV,Styrene,detectable,0.7,0,100,ppm,correction factor is relative sensitivity compared to Ethyl Oxide,
DRAGER-XXS-OVA,Ethylene Oxide,primary,,0,200,ppm,,
DRAGER-XXS-OVA,*Acrylonitrile,detectable,0.15,0,100,ppm,,
DRAGER-XXS-OVA,Isobutylene,detectable,0.9,0,300,ppm,,
DRAGER-XXS-OVA,"Ethanol
(ethyl alcohol)",detectable,0.55,0,300,ppm,,
DRAGER-XXS-OVA,"Ether
(ethyl ether, diethyl ether, ethyl oxide)",detectable,0.75,0,200,ppm,,
DRAGER-XXS-OVA,Acetylene,detectable,1.4,0,100,ppm,,
DRAGER-XXS-O2,Oxygen,primary,,0,25,%vol,,
DRAGER-XXS-EO2,Oxygen,primary,,0,25,%vol,,
DRAGER-XXS-O2PR,Oxygen,primary,,0,30,%vol,,
DRAGER-XXS-O2COLC-O2,Oxygen,primary,,0,25,%vol,,
DRAGER-XXS-O2COLC-CO,Carbon Monoxide,primary,,0,2000,ppm,,
DRAGER-XXS-O2H2SLC-O2,Oxygen,primary,,0,25,%vol,,
DRAGER-XXS-O2H2SLC-H2S,Hydrogen Sulfide,primary,,0,100,ppm,,
DRAGER-XXS-O2100,Oxygen,primary,,0,100,%vol,,
DRAGER-XXS-O3,Ozone,primary,,0,10,ppm,,
DRAGER-XXS-PH3,"Phosphine
Note: reacts photochemically to form products that can coat a PID lamp over time.",primary,,0,20,ppm,,
